animal	milk
106	5493.91
107	5451.05
108	5624.35
109	5848.69
110	5232.49
111	5193.57
112	5125.33
113	5087.29
114	5030.47
115	5157.86
116	5190.7
117	5201.37
118	5187.74
119	6374.59
120	5327.68
121	5257.14
122	5125.1
123	5311.36
124	5269.73
125	5555.66
126	5754.93
127	5893.2
128	4923.79
129	6595.95
130	6349.58
131	5187.68
132	4930.79
133	5418.62
134	5147.85
135	4867.96
136	5514.86
137	5450.53
138	5220.22
139	6026.58
140	5872.44
141	5991.77
142	5853.3
143	5511.36
144	5371.51
145	5161.58
146	5370.71
147	5636.58
148	5386.47
149	5505.52
150	5422.68
151	6122.53
152	5555.95
153	5588.2
154	6205.58
155	5831.82
156	6406.84
157	6237.84
158	5806.22
159	5284.18
160	5012.98
161	5697.93
162	5454.6
163	5951.34
164	5280.55
165	5095.37
166	5781.98
167	5638.72
168	5271.82
169	5372.71
170	6072.01
171	6062.5
172	5733.38
173	5976.82
174	5563.88
175	6249.3
176	5457.63
177	6199.01
178	6194.09
179	6213.85
180	6298.09
181	6091.85
182	6192.08
183	5500.83
184	6165.17
185	6418.58
186	6308.75
187	6376.03
188	5372.02
189	5273.2
190	5404.43
191	5244.59
192	5372.66
193	5687.93
194	5608.55
195	5353.86
196	5284.42
197	5577.78
198	6089.56
199	5805.16
200	6003.57
201	6215.3
202	6121.01
203	5919.07
204	5607.2
205	6082.01
206	6152.71
207	5691.27
208	5788.21
209	6095.95
210	5714.43
211	6404.46
212	5364.26
213	5763.53
214	5371.96
215	6381.86
216	7576.5
217	6220.2
218	6253.65
219	6506.86
220	6519.27
221	5425.18
222	6680.8
223	7323.81
224	5779.47
225	5844.73
226	5722.27
227	5609.45
228	5304.32
229	5701.99
230	5514.91
231	5162.39
232	5676.66
233	6318.03
234	6043.04
235	6718.51
236	6219.34
237	6151.05
238	5043.3
239	5465.51
240	5521.13
241	5939.72
242	6591.34
243	6503.19
244	6105.7
245	6069.14
246	5783.66
247	5836.78
248	6135.69
249	5877.85
250	5800.59
251	6241.7
252	6042.93
253	5649.74
254	6103.09
255	6235.46
256	5986.72
257	5911.9
258	6320.56
259	5567.86
260	5779.05
261	6282.06
262	5956.05
263	5682.24
264	5316.57
265	5669.67
266	5769.07
267	5877.93
268	6151.35
269	5645.82
270	5748.01
271	5146.93
272	5109.92
273	5344.23
274	5703.12
275	5678.36
276	5833.86
277	6300.18
278	5766.03
279	5588.51
280	5818.23
281	5852.16
282	6296.32
283	5606.97
284	5488.58
285	5992.77
286	5935.74
287	5837.19
288	5865.57
289	6248.26
290	6231.21
291	5584.84
292	5766.72
293	5317.27
294	5649.65
295	6115.48
296	6070.47
297	5954.32
298	5383.78
299	5693.55
300	5384.43
301	5865.19
302	5703.41
303	5488.08
304	6352.3
305	5699.11
