animal	sire	dam
106	5	82
107	1	15
108	1	97
109	3	99
110	4	88
111	4	15
112	5	43
113	5	90
114	1	38
115	1	20
116	5	98
117	4	66
118	3	74
119	1	81
120	3	101
121	3	81
122	2	96
123	2	14
124	2	82
125	3	15
126	5	101
127	5	92
128	1	20
129	2	89
130	4	31
131	5	54
132	5	18
133	2	19
134	3	64
135	1	9
136	4	101
137	4	101
138	4	80
139	3	104
140	3	102
141	1	104
142	1	69
143	3	16
144	3	53
145	4	30
146	3	29
147	5	22
148	5	17
149	5	57
150	5	10
151	4	36
152	2	96
153	1	10
154	2	90
155	5	50
156	1	13
157	5	98
158	2	92
159	1	98
160	4	50
161	1	66
162	5	61
163	4	34
164	2	9
165	2	72
166	1	105
167	4	50
168	3	21
169	1	25
170	2	35
171	2	31
172	3	11
173	5	29
174	4	20
175	5	92
176	4	104
177	1	53
178	3	88
179	2	82
180	5	8
181	3	79
182	5	84
183	4	93
184	2	103
185	5	100
186	4	35
187	4	76
188	4	67
189	4	16
190	3	51
191	1	26
192	4	35
193	4	84
194	1	25
195	5	55
196	1	94
197	4	13
198	2	97
199	5	30
200	4	54
201	5	52
202	2	31
203	4	65
204	2	77
205	2	28
206	3	91
207	3	104
208	3	20
209	2	61
210	2	22
211	2	21
212	5	21
213	1	6
214	1	59
215	2	66
216	4	95
217	2	91
218	4	99
219	4	9
220	4	56
221	5	9
222	1	47
223	2	87
224	3	42
225	5	85
226	1	50
227	3	40
228	5	83
229	5	84
230	4	62
231	1	30
232	3	60
233	2	52
234	4	72
235	1	13
236	4	27
237	5	58
238	2	40
239	5	54
240	2	12
241	5	30
242	4	78
243	4	18
244	2	26
245	3	39
246	1	56
247	3	85
248	1	98
249	2	79
250	5	100
251	5	50
252	3	85
253	4	17
254	4	22
255	1	90
256	2	100
257	4	43
258	5	81
259	5	98
260	1	60
261	3	23
262	4	83
263	1	104
264	2	32
265	1	81
266	4	54
267	2	79
268	1	59
269	2	57
270	5	44
271	3	61
272	2	103
273	2	30
274	1	28
275	1	34
276	3	91
277	1	76
278	3	64
279	5	9
280	2	50
281	5	79
282	4	64
283	3	29
284	3	20
285	4	96
286	2	28
287	4	32
288	5	83
289	4	63
290	4	63
291	1	72
292	1	48
293	4	71
294	3	14
295	5	14
296	5	67
297	1	49
298	3	30
299	3	67
300	1	83
301	3	61
302	4	14
303	3	14
304	4	67
305	5	61
